531,45648069,266,11214634
Mississippi,MS,9,81046
Missouri,MO,15,914318
Montana,MT,4,115257
Nebraska,NE,7,304012
Nevada,NV,3,21925
New Hampshire,NH,4,109058
New Jersey,NJ,16,910219
New Mexico,NM,3,84589
New York,NY,47,2798200
North Carolina,NC,13,419733
North Dakota,ND,4,136859
Ohio,OH,26,1506295
Oklahoma,OK,11,374871
Pennsylvania,PA,36,2069214
Rhode Island,RI,4,155590
South Carolina,SC,8,57719
South Dakota,SD,4,148237
Tennessee,TN,11,238270
Texas,TX,23,421742
Utah,UT,4,108339
Vermont,VT,3,71845
Virginia,VA,11,167296
